Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 189,current eyeGaze_left: Position (-0.05835107, 0.6155627, 0.176278), Orientation(0.0641761, -0.01425859, 0.01537464, 0.9977183), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 202,current eyeGaze_left: Position (-0.05835107, 0.6155627, 0.176278), Orientation(0.0641761, -0.01425859, 0.01537464, 0.9977183), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 218,current eyeGaze_left: Position (-0.05835107, 0.6155627, 0.176278), Orientation(0.0641761, -0.01425859, 0.01537464, 0.9977183), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 230,current eyeGaze_left: Position (-0.05832426, 0.6155303, 0.1761893), Orientation(0.05739937, -0.01138363, 0.0161514, 0.9981557), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 245,current eyeGaze_left: Position (-0.05832426, 0.6155303, 0.1761893), Orientation(0.05739937, -0.01138363, 0.0161514, 0.9981557), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 259,current eyeGaze_left: Position (-0.05833139, 0.6154821, 0.1761076), Orientation(0.0571318, -0.01145854, 0.01624649, 0.9981686), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 272,current eyeGaze_left: Position (-0.05833139, 0.6154821, 0.1761076), Orientation(0.0571318, -0.01145854, 0.01624649, 0.9981686), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 288,current eyeGaze_left: Position (-0.05831748, 0.6152856, 0.1760669), Orientation(0.06401673, -0.01192968, 0.01602395, 0.9977489), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 300,current eyeGaze_left: Position (-0.05831748, 0.6152856, 0.1760669), Orientation(0.06401673, -0.01192968, 0.01602395, 0.9977489), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 316,current eyeGaze_left: Position (-0.05831748, 0.6152856, 0.1760669), Orientation(0.06401673, -0.01192968, 0.01602395, 0.9977489), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 328,current eyeGaze_left: Position (-0.0583617, 0.6151865, 0.1760146), Orientation(0.06429264, -0.01357653, 0.01594063, 0.9977114), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 342,current eyeGaze_left: Position (-0.0583617, 0.6151865, 0.1760146), Orientation(0.06429264, -0.01357653, 0.01594063, 0.9977114), Confidence: 0.9980469

Timestamp: 2/5/2025 1:35:57 AM, Millisecond: 357,current eyeGaze_left: Position (-0.05842024, 0.615102, 0.1759785), Orientation(0.06401716, -0.01358247, 0.01619383, 0.9977249), Confidence: 0.9980469

