Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 512,current eyeGaze_left: Position (-0.02867846, 1.125894, 0.05041704), Orientation(0.1162401, -0.02517473, -0.02256379, 0.9926457), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 526,current eyeGaze_left: Position (-0.02867846, 1.125894, 0.05041704), Orientation(0.1162401, -0.02517473, -0.02256379, 0.9926457), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 541,current eyeGaze_left: Position (-0.02901251, 1.126011, 0.05103207), Orientation(0.1155459, -0.02476757, -0.02275368, 0.9927327), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 555,current eyeGaze_left: Position (-0.02901251, 1.126011, 0.05103207), Orientation(0.1155459, -0.02476757, -0.02275368, 0.9927327), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 570,current eyeGaze_left: Position (-0.02930839, 1.126132, 0.05158264), Orientation(0.1165765, -0.02441894, -0.02288158, 0.9926178), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 582,current eyeGaze_left: Position (-0.02930839, 1.126132, 0.05158264), Orientation(0.1165765, -0.02441894, -0.02288158, 0.9926178), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 597,current eyeGaze_left: Position (-0.02930839, 1.126132, 0.05158264), Orientation(0.1165765, -0.02441894, -0.02288158, 0.9926178), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 609,current eyeGaze_left: Position (-0.02925344, 1.126264, 0.05195944), Orientation(0.1176902, -0.02608565, -0.02320189, 0.9924365), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 624,current eyeGaze_left: Position (-0.02925344, 1.126264, 0.05195944), Orientation(0.1176902, -0.02608565, -0.02320189, 0.9924365), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 639,current eyeGaze_left: Position (-0.02892401, 1.126474, 0.05217525), Orientation(0.11726, -0.0272081, -0.02326038, 0.9924559), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 653,current eyeGaze_left: Position (-0.02892401, 1.126474, 0.05217525), Orientation(0.11726, -0.0272081, -0.02326038, 0.9924559), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 666,current eyeGaze_left: Position (-0.02892401, 1.126474, 0.05217525), Orientation(0.11726, -0.0272081, -0.02326038, 0.9924559), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 679,current eyeGaze_left: Position (-0.0284937, 1.126748, 0.05227146), Orientation(0.1180712, -0.02846195, -0.02313425, 0.9923276), Confidence: 0.5

Timestamp: 11/2/2024 9:02:28 PM, Millisecond: 693,current eyeGaze_left: Position (-0.0284937, 1.126748, 0.05227146), Orientation(0.1180712, -0.02846195, -0.02313425, 0.9923276), Confidence: 0.5

