Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 547,current eyeGaze_left: Position (-0.1099577, 1.005202, 0.2145582), Orientation(0.1166871, -0.04150176, 0.004080025, 0.9922929), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 560,current eyeGaze_left: Position (-0.1099577, 1.005202, 0.2145582), Orientation(0.1166871, -0.04150176, 0.004080025, 0.9922929), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 576,current eyeGaze_left: Position (-0.1099577, 1.005202, 0.2145582), Orientation(0.1166871, -0.04150176, 0.004080025, 0.9922929), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 588,current eyeGaze_left: Position (-0.1097254, 1.005314, 0.2147336), Orientation(0.1181811, -0.03959643, 0.003969328, 0.9921944), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 601,current eyeGaze_left: Position (-0.1097254, 1.005314, 0.2147336), Orientation(0.1181811, -0.03959643, 0.003969328, 0.9921944), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 617,current eyeGaze_left: Position (-0.1095201, 1.005493, 0.2149577), Orientation(0.119712, -0.03709764, 0.003811894, 0.992108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 630,current eyeGaze_left: Position (-0.1095201, 1.005493, 0.2149577), Orientation(0.119712, -0.03709764, 0.003811894, 0.992108), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 645,current eyeGaze_left: Position (-0.1093068, 1.00569, 0.2152168), Orientation(0.1209776, -0.03816972, 0.003301935, 0.9919157), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 673,current eyeGaze_left: Position (-0.1093068, 1.00569, 0.2152168), Orientation(0.1209776, -0.03816972, 0.003301935, 0.9919157), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 685,current eyeGaze_left: Position (-0.109061, 1.005887, 0.2154454), Orientation(0.1223295, -0.03772281, 0.002933765, 0.9917682), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 697,current eyeGaze_left: Position (-0.109061, 1.005887, 0.2154454), Orientation(0.1223295, -0.03772281, 0.002933765, 0.9917682), Confidence: 0.5

Timestamp: 11/2/2024 7:35:59 PM, Millisecond: 713,current eyeGaze_left: Position (-0.109061, 1.005887, 0.2154454), Orientation(0.1223295, -0.03772281, 0.002933765, 0.9917682), Confidence: 0.5

