Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 646,current eyeGaze_left: Position (-0.0343041, 0.7014897, -0.01802993), Orientation(0.09011925, 0.0107936, -0.007312386, 0.9958457), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 659,current eyeGaze_left: Position (-0.03454911, 0.7022497, -0.01788637), Orientation(0.08855566, 0.009516163, -0.00799528, 0.9959937), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 673,current eyeGaze_left: Position (-0.03454911, 0.7022497, -0.01788637), Orientation(0.08855566, 0.009516163, -0.00799528, 0.9959937), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 687,current eyeGaze_left: Position (-0.03454911, 0.7022497, -0.01788637), Orientation(0.08855566, 0.009516163, -0.00799528, 0.9959937), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 701,current eyeGaze_left: Position (-0.03490414, 0.7027441, -0.01781224), Orientation(0.08977504, 0.01010735, -0.008424956, 0.9958751), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 715,current eyeGaze_left: Position (-0.03490414, 0.7027441, -0.01781224), Orientation(0.08977504, 0.01010735, -0.008424956, 0.9958751), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 729,current eyeGaze_left: Position (-0.03519486, 0.7029355, -0.01777344), Orientation(0.07865939, -0.02600118, -0.01320192, 0.996475), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 742,current eyeGaze_left: Position (-0.03519486, 0.7029355, -0.01777344), Orientation(0.07865939, -0.02600118, -0.01320192, 0.996475), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 757,current eyeGaze_left: Position (-0.0354696, 0.7028694, -0.01802002), Orientation(0.07822772, -0.02574757, -0.01353735, 0.996511), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 771,current eyeGaze_left: Position (-0.0354696, 0.7028694, -0.01802002), Orientation(0.07822772, -0.02574757, -0.01353735, 0.996511), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 785,current eyeGaze_left: Position (-0.0354696, 0.7028694, -0.01802002), Orientation(0.07822772, -0.02574757, -0.01353735, 0.996511), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 798,current eyeGaze_left: Position (-0.03564032, 0.7027357, -0.01798686), Orientation(0.07861203, -0.003768251, -0.01071347, 0.9968407), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 812,current eyeGaze_left: Position (-0.03564032, 0.7027357, -0.01798686), Orientation(0.07861203, -0.003768251, -0.01071347, 0.9968407), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 826,current eyeGaze_left: Position (-0.0357337, 0.7025374, -0.01790843), Orientation(0.07896968, 4.248455E-05, -0.009443391, 0.9968324), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 840,current eyeGaze_left: Position (-0.0357337, 0.7025374, -0.01790843), Orientation(0.07896968, 4.248455E-05, -0.009443391, 0.9968324), Confidence: 0.9980469

Timestamp: 2/5/2025 12:58:20 AM, Millisecond: 854,current eyeGaze_left: Position (-0.0357337, 0.7025374, -0.01790843), Orientation(0.07896968, 4.248455E-05, -0.009443391, 0.9968324), Confidence: 0.9980469

